q1,q2,dq1,dq2,u1,u2
0.0873,0,0,0,0,0
0.08727491054,6.55E-05,-0.004983718769,0.0130203042,7.671177889,-17.20077222
0.08722904169,0.0001716581483,-0.004201285463,0.00826549879,9.205358271,-17.30256116
0.08718004709,0.0002656517066,-0.005583796982,0.01051261434,9.291773479,-17.04969959
0.08712355131,0.0003613861076,-0.005711644141,0.008647127151,9.08545459,-17.24715537
0.08705996764,0.0004563702985,-0.006987178576,0.01031855705,8.747078618,-17.23570813
0.08698367093,0.0005664455424,-0.008252579824,0.01166327654,8.093682469,-17.44650519
0.08689810191,0.0006788691447,-0.008845420659,0.01080098316,7.958642752,-17.55543682
0.08680018202,0.000803057626,-0.0107077982,0.01396902282,7.828011255,-17.45882099
0.08669440082,0.0009314902448,-0.01043694058,0.01169769391,10.77498296,-16.70963459
0.08659155399,0.001041563324,-0.01011898385,0.01028053824,12.86897348,-16.02035387
0.0864891022,0.001145657646,-0.01035143895,0.01048249319,12.52034342,-16.06609167
0.08638443713,0.001250363331,-0.01056117329,0.01040342849,12.04383313,-16.21284375
0.08627904521,0.001348517141,-0.01049802087,0.009178621069,11.43672847,-16.42766092
0.08617089031,0.001443999666,-0.01110555053,0.009845402233,10.84842465,-16.53700805
0.08605532454,0.001549358197,-0.01197673178,0.01114507042,10.36003038,-16.65539183
0.08593173534,0.001665595322,-0.01271074706,0.01202282368,10.36003038,-16.65539183
0.08580826494,0.001778804935,-0.01196721906,0.01056122075,15.41634867,-15.14199981
0.08569006459,0.001881579006,-0.01165238871,0.00992703617,14.21426832,-15.47528901
0.08557047571,0.001990499319,-0.01223660275,0.01176796979,13.30540997,-15.66389505
0.0854549363,0.002088882996,-0.01086154468,0.007875099983,14.44541103,-15.48084195
0.08534315584,0.002178348566,-0.0114647271,0.009923790454,13.54457764,-15.55408731
0.08522605714,0.002286094523,-0.01192812163,0.01154073764,13.54457764,-15.55408731
0.08511200463,0.00238632985,-0.01087037038,0.00846735401,13.91536519,-15.57728337
0.0850041116,0.002468005089,-0.01068621371,0.007800233174,13.03767954,-15.75838329
0.08489154213,0.002561976827,-0.01179338663,0.01089136721,12.18422208,-15.88781357
0.08477352119,0.002669039357,-0.01178812046,0.01045547097,12.2405489,-15.97083447
0.08465317839,0.002777664052,-0.01225251476,0.01119038324,11.4881101,-16.1532453
0.08452891026,0.002891424567,-0.01257415494,0.01148568053,11.4881101,-16.1532453
0.08439764525,0.003017182435,-0.01364413735,0.01357133906,10.14903393,-16.49779853
0.08427160047,0.003124384167,-0.01156000934,0.007846962615,15.01520841,-15.22037687
0.08415495693,0.003208635023,-0.01174033545,0.008909937602,13.95820507,-15.31325515
0.08403945641,0.003293896124,-0.01133783771,0.008069972352,13.85628673,-15.39070964
0.08392699398,0.003371745223,-0.01113046054,0.007424481776,12.90772123,-15.6638844
0.08380971473,0.003463139012,-0.01228838092,0.01074219331,11.98520888,-15.80670921
0.08368827349,0.003563921304,-0.01197779114,0.009350255195,11.95753555,-15.95284114
0.08356578787,0.003669147409,-0.01248951668,0.01159620373,14.03675354,-15.17171186
0.08344415295,0.003775701392,-0.01182001026,0.009659415124,13.16881777,-15.56309635
0.08332996824,0.003860551174,-0.01099957446,0.007255118771,13.16881777,-15.56309635
0.08322478988,0.003918858289,-0.0100185819,0.004349754609,13.16881777,-15.56309635
0.08313026795,0.003945450715,-0.008865369394,0.0009026750853,13.16881777,-15.56309635
