time,theta1,theta2,theta1_dot,theta2_dot,estimated_theta1,estimated_theta2,estimated_theta1_dot,estimated_theta2_dot,observed_theta1,observed_theta2,control_inputs,delayed_inputs,diff_history,com_x,com_y,cop
0.1,-0.011044393104215011,0.32106474297070475,-1.2253436492481797,4.224721537984121,-0.9875916673430668,3.6016650334284335,-1.214534761855699,4.229199425309247,-0.011044393104215011,0.32106474297070475,"[0, 0]","[np.int64(0), np.int64(0)]",1.2363880423523947,0.08601679192423052,0.9898027005303681,3.8823567008646904
0.11,-0.022995594667424513,0.3627928381798773,-1.1642470931699822,4.1201259847540666,-0.9763184127668069,3.537081580174088,-1.1492109365170293,4.125908230086523,-0.022995594667424513,0.3627928381798773,"[0, 0]","[np.int64(0), np.int64(0)]",1.1872426878374067,0.08924837049040858,0.9854988250039738,2.350628851368726
0.12,-0.03432811961582072,0.40348758745513846,-1.102606763104478,4.02107981500541,-0.9341124579485419,3.4707207587579507,-1.0823979245231676,4.028437716652633,-0.03432811961582072,0.40348758745513846,"[0, 0]","[np.int64(0), np.int64(0)]",1.1369348827202987,0.0924536231382011,0.9807458761669172,1.9171809465096277
0.13,-0.04505835326967933,0.44327043471251804,-1.044181451279872,3.93892212112721,-0.8911783754024114,3.4091948224564526,-1.0204794956625154,3.9472460299761565,-0.04505835326967933,0.44327043471251804,"[0, 0]","[np.int64(0), np.int64(0)]",1.0892398045495513,0.09564960851599308,0.97558502081598,1.7436687603502248
0.14,-0.055225460687596595,0.482331024602106,-0.9900297790280175,3.876756042009021,-0.8497654075378085,3.3580670212509443,-0.9633717474251462,3.8858585233069505,-0.055225460687596595,0.482331024602106,"[0, 0]","[np.int64(0), np.int64(0)]",1.045255239715614,0.09885515156431461,0.9700395050996159,1.6955439069084899
0.15,-0.06487147718358433,0.5208665797401584,-0.9398562225212975,3.8335727000919815,-0.8111323110524291,3.3218326188980156,-0.9107063841028911,3.843231643766316,-0.06487147718358433,0.5208665797401584,"[0, 0]","[np.int64(0), np.int64(0)]",1.004727699704882,0.1020869388774701,0.9641208204106635,1.7242107080157139
0.16,-0.074032401562651,0.559054954571307,-0.8928577974273579,3.8068395782266267,-0.7788695653626606,3.3040275081069814,-0.8602948685679506,3.817054920380542,-0.074032401562651,0.559054954571307,"[0, 0]","[np.int64(0), np.int64(0)]",0.9668901989900089,0.10535814683888063,0.9578337266919209,1.797538282127846
0.17,-0.08273558858588803,0.5970469224337465,-0.8481604169957312,3.7938303396121342,-0.7587512319507164,3.3109937437737367,-0.8068738391095724,3.8055287452219773,-0.08273558858588803,0.5970469224337465,"[0, 0]","[np.int64(0), np.int64(0)]",0.9308960055816192,0.10867832377685295,0.9511795241334222,1.8819704510535098
0.18,-0.09100010465580954,0.6349674716468305,-0.8049992783350357,3.7921708382578956,-0.7636744003873013,3.359834082337138,-0.7405300349630952,3.8085231471407397,-0.09100010465580954,0.6349674716468305,"[0, 0]","[np.int64(0), np.int64(0)]",0.8959993829908453,0.11205373919000355,0.9441578927161056,1.9432532603419836
0.19,-0.09883813485468362,0.6729202608754861,-0.7627655922080487,3.7999766137932123,-0.8058216436104626,3.472971800517607,-0.6569965571478722,3.8261303244077602,-0.09883813485468362,0.6729202608754861,"[0, 0]","[np.int64(0), np.int64(0)]",0.8616037270627324,0.115487811374869,0.9367678120924119,1.958612604736846
