time,theta1,theta2,theta1_dot,theta2_dot,estimated_theta1,estimated_theta2,estimated_theta1_dot,estimated_theta2_dot,observed_theta1,observed_theta2,control_inputs,delayed_inputs,diff_history,com_x,com_y,cop
0.0,0.08729153615157559,5.373384611484511e-06,-0.0016906789089607005,0.0010681475265892982,0.04572413798415864,2.8146300345871247e-06,-0.0028158849538481856,0.0007164931660316037,0.08729153615157559,5.373384611484511e-06,"[np.float64(4.733038125613604), np.float64(-18.482088021878322)]","[np.float64(4.733038125613604), np.float64(-18.482088021878322)]",0.08898221506053629,0.0616996275686132,1.0023452359036007,0.010145472815111616
0.01,0.0868106837619349,0.0014806551546460156,-0.0945843806622403,0.2943508831261806,0.012069568523037618,0.0008274882668625381,-0.09544060508461938,0.29408317357353314,0.0868106837619349,0.0014806551546460156,"[np.float64(3.429491260341674), np.float64(-9.432660731701969)]","[np.float64(3.429491260341674), np.float64(-9.432660731701969)]",0.1813950644241752,0.061799271491764535,1.0023744961142746,0.3005260371804042
0.02,0.08549023935356104,0.005602915716834467,-0.1697923547828507,0.5311024517601446,-0.0653840713638941,0.24597211156541895,-0.16999019361948875,0.5310124015782698,0.08549023935356104,0.005602915716834467,"[np.float64(3.2744243186197477), np.float64(-11.450898426263077)]","[np.float64(3.2744243186197477), np.float64(-11.450898426263077)]",0.25528259413641174,0.06209394773018276,1.002450561462259,0.28512508326597347
0.03,0.084388865976472,0.00894603306633357,-0.050736800236276414,0.13839629437009043,-0.1265986945667669,0.4421685477470908,-0.023305567919081227,0.14691676494631878,0.084388865976472,0.00894603306633357,"[np.float64(-10.103968598853676), np.float64(-36.24302887029939)]","[np.float64(-10.103968598853676), np.float64(-36.24302887029939)]",0.1351256662127484,0.06231131906414374,1.0025094565789647,0.5211298934569731
0.04,0.08435552226785825,0.00873317850162314,0.044121996855567114,-0.18114271213192423,-0.004938869233273746,0.1223635224431471,0.09865814029725684,-0.1641033871689963,0.08435552226785825,0.00873317850162314,"[np.float64(-20.00000008241047), np.float64(-37.01847469803897)]","[np.float64(-20.00000008241047), np.float64(-37.01847469803897)]",0.12847751912342537,0.0622245184821115,1.0025120046322549,0.5657734796081492
0.05,0.08420923230086919,0.0087322706027253,-0.0733246017368662,0.18078516328253524,0.09608952175559768,-0.13531868196540378,-0.06990825600970485,0.1818684527620107,0.08420923230086919,0.0087322706027253,"[np.float64(-19.999999160125363), np.float64(-14.852082846107567)]","[np.float64(-19.999999160125363), np.float64(-14.852082846107567)]",0.15753383403773538,0.06212108623398828,1.0025207224005441,0.3104377887714403
0.06,0.08302584922470713,0.011996641682539444,-0.16351260406293405,0.4726697603074984,-0.044649416146819325,0.15328843758700214,-0.17911577165350945,0.4677768974868357,0.08302584922470713,0.011996641682539444,"[np.float64(16.585870375600962), np.float64(-5.7691615225451445)]","[np.float64(16.585870375600962), np.float64(-5.7691615225451445)]",0.24653845328764118,0.06225709514509121,1.0025806093697278,0.3045666444997036
0.07,0.08157370160360689,0.01612286592506562,-0.12718276049528615,0.35350353791750977,-0.13536084451941321,0.3914794351676184,-0.10225138800064038,0.36124756824656146,0.08157370160360689,0.01612286592506562,"[np.float64(5.195313618831779), np.float64(-22.812103923701173)]","[np.float64(5.195313618831779), np.float64(-22.812103923701173)]",0.20875646209889304,0.06245964242421193,1.00264784342518,1.7629313143416505
0.08,0.08071110515182589,0.01827364665459852,-0.04545630272294582,0.07707460456317305,-0.07002824194209793,0.30100476445449054,0.002635800902506702,0.0920708413089244,0.08071110515182589,0.01827364665459852,"[np.float64(-19.999999919103665), np.float64(-35.90154339768889)]","[np.float64(-19.999999919103665), np.float64(-35.90154339768889)]",0.1261674078747717,0.062490601446502994,1.002686325564218,0.613445890228278
0.09,0.08041511402103252,0.018465534115902127,-0.013671273029041385,-0.03891773756380926,0.01540397900794665,0.07937901099356733,0.017670815987029798,-0.0291290357155507,0.08041511402103252,0.018465534115902127,"[np.float64(-20.000000100821826), np.float64(-30.709421055199478)]","[np.float64(-20.000000100821826), np.float64(-30.709421055199478)]",0.09408638705007391,0.06233885278826515,1.0027021351459426,2.856901506505981
