theta1,theta2,theta1_dot,theta2_dot
0.0873,0.0,0.0,0.0
0.08734280118798901,6.283149108115907,0.008561294331561354,-0.007242194765711648
0.08747126817657597,6.283040367936182,0.017135276889359875,-0.01451299800050044
0.08768559140102118,6.282858657149567,0.02573466573783269,-0.021841115213873816
0.08798608875111302,6.28260325831927,0.03437223872451696,-0.029255446379703506
0.08837320631954579,6.282273163627827,0.0430608636331718,-0.03678518410863138
0.0888475194533192,6.281867071455302,0.05181352865292368,-0.04445991295668683
0.08940973411186219,6.281383381957091,0.06064337327236344,-0.0523097102621949
0.09006068853668768,6.280820191624032,0.06956371971066554,-0.06036524891476798
0.0908013552385255,6.280175286803435,0.07858810500181321,-0.06865790247516146
0.09163284330906495,6.279446136155345,0.08773031385295567,-0.07721985308327996
0.09255640106567779,6.278629882013872,0.09700441240386894,-0.08608420261394654
0.09357341903879655,6.277723330618723,0.10642478302152794,-0.09528508756656419
0.09468543331300285,6.276722941177015,0.11600616027202709,-0.10485779820592975
0.09589412923434967,6.275624813710145,0.1257636682216353,-0.11483890250775035
0.0972013454980132,6.274424675634714,0.1357128592297759,-0.1252663755044366
0.09860907863205907,6.273117867020329,0.14586975440935407,-0.13617973467525418
0.10011948789493323,6.271699324460396,0.15625088594429498,-0.14762018208071045
0.10173490060626632,6.27016356348469,0.1668733414706289,-0.15963075400510984
0.103457817932736,6.268504659434506,0.17775481074620478,-0.17225647894465188
0.10529092115308634,6.266716226712398,0.18891363485541712,-0.18554454486254904
0.10723707842898601,6.264791396308838,0.20036885821950587,-0.1995444767289142
0.10929935211124611,6.262722791497401,0.21214028371039545,-0.21430832547331496
0.11148100661405111,6.2605025015781965,0.22424853119708343,-0.22989086960392036
0.11378551689331742,6.258122053536012,0.23671509988871686,-0.24634983089132723
0.11621657756913105,6.255572381464866,0.24956243487821975,-0.26374610568011353
0.1187781127364735,6.2528437935940815,0.26281399833521224,-0.2821440135799092
0.12147428651318115,6.249925936732465,0.27649434584761634,-0.3016115655037982
0.12430951437935701,6.2468077579262395,0.2906292084684512,-0.3222207532691192
0.12728847536833385,6.243477463102882,0.3052455810886243,-0.34404786325878467
0.1304161251758503,6.239922472446431,0.32037181782881663,-0.3671738169652769
0.13369771026143068,6.236129372219816,0.33603773522467545,-0.3916845416104378
0.13713878302414625,6.232083862715716,0.3522747240703388,-0.4176713744587753
0.1407452181440846,6.227770701978956,0.36911587088668346,-0.4452315049279004
0.14452323019107066,6.223173644899646,0.38659609009344764,-0.47446845915547814
0.14847939261358925,6.218275377226596,0.40475226808925174,-0.5054926323173706
0.15262065823357573,6.2130574439940505,0.42362342058106806,-0.5384218747171954
0.1569543813868983,6.207500171790506,0.44325086465509017,-0.5733821384951561
0.16148834186507965,6.201582584225321,0.46367840724394793,-0.6105081927465976
0.16623077083121937,6.195282309865651,0.48495255181977276,-0.649944415912094
0.17119037890228633,6.188575481821698,0.5071227253266115,-0.691845675515427
0.17637638661103164,6.181436628050756,0.5302415275553818,-0.7363783066981294
0.18179855748375512,6.173838551328491,0.5543650053539746,-0.7837212025433518
0.18746723399499673,6.165752197697483,0.579552954245055,-0.8340670309098155
0.19339337668676088,6.157146512046391,0.6058692501809639,-0.8876235944171803
0.19958860676779125,6.147988279296308,0.6333822142790735,-0.9446153523396952
0.20606525253713567,6.1382419494718885,0.6621650134236863,-1.0052851254680482
0.21283640000487172,6.127869444712075,0.6922960995520754,-1.0698960074671287
0.21991594811003015,6.1168299460270505,0.7238596902065613,-1.1387335088443902
0.2273186689594127,6.105079657333798,0.7569462924538516,-1.2121079622707704
0.23506027352819733,6.092571544002349,0.791653271439954,-1.2903572205368896
0.2431574832697367,6.0792550428203596,0.8280854635166008,-1.3738496806867622
0.25162810807183705,6.065075739939143,0.8663558318423622,-1.462987669559619
0.26049113096175647,6.049975013007474,0.9065861593554976,-1.5582112266656951
0.269766799890695,6.033889633343058,0.9489077696671101,-1.660002319420817
0.2794767268048819,6.016751323655588,0.9934622602360599,-1.7688895224178018
0.28964399401295315,5.998486266549751,1.0404022234977415,-1.885453185439342
0.3002932675589284,5.979014558845429,1.0898919195454853,-2.0103311026963975
0.31145091686735293,5.958249606718478,1.1421078473433877,-2.144224676110725
0.3231451392893387,5.936097456877425,1.1972391387639179,-2.2879055354096125
0.3354060872752612,5.9124560595714994,1.2554876690310823,-2.4422225334873664
0.34826599463948055,5.88721446034032,1.3170677359137208,-2.6081089718838757
0.3617592966443748,5.8602519192889835,1.382205105136734,-2.786589821950898
0.3759227362604144,5.831436959599114,1.4511351471692508,-2.978788584426466
0.39079544575991876,5.800626351348218,1.5240996963632563,-3.185933264299001
0.40641898853139263,5.767664042988924,1.6013421424285421,-3.409360718351683
0.4228373403658463,5.732380061628465,1.6831001114798843,-3.6505183485307873
0.4400967821269172,5.694589415246089,1.7695949052961604,-3.9109617554379077
0.45824566630363384,5.654091045970547,1.8610166414421432,-4.192346527360404
0.4773340080973129,5.610666904301738,1.957503777327243,-4.496411825577013
0.4974128371340677,5.564081240365883,2.0591154217719376,-4.824952858531509
0.5185332285565998,5.514080240244721,2.1657945685684923,-5.179778768703391
0.5407449124945399,5.460392172667763,2.277320184683454,-5.56265198721913
0.564094339856714,5.402728252120435,2.393246047571879,-5.975204912517365
0.5886220623744148,5.3407844647707785,2.5128245035414314,-6.418830103795657
0.6143592700632803,5.2742446364475235,2.6349141364517608,-6.894541421511227
0.6413233266330484,5.202785035811396,2.757872002035292,-7.402806177319551
0.6695121632441848,5.126080784284511,2.8794339897804444,-7.943352910593701
