time,theta1,theta2,theta1_dot,theta2_dot,estimated_theta1,estimated_theta2,estimated_theta1_dot,estimated_theta2_dot,observed_theta1,observed_theta2,control_inputs,delayed_inputs,diff_history,com_x,com_y,cop
0.0,0.08632854964304126,0.0030858139790375105,-0.1945103781869352,0.6179276246229235,0.08632854964304133,0.0030858139790375964,-0.1945103781869352,0.6179276246229235,0.08632854964304126,0.0030858139790375105,"[np.float64(3.1373091520608574), np.float64(-19.01901827084981)]","[np.float64(0.0), np.float64(0.0)]",0.28083892782997644,0.06193661365776942,1.0024029077191392,0.3460373281413379
0.01,0.08340182308354116,0.012386577163322254,-0.39132325968319803,1.2439929258032025,0.08340182308354127,0.01238657716332222,-0.39132325968319803,1.2439929258032025,0.08340182308354116,0.012386577163322254,"[np.float64(6.276570308362842), np.float64(-38.33337662393765)]","[np.float64(0.0), np.float64(0.0)]",0.4747250827667392,0.0626381858269115,1.0025570800792032,0.3642522467241775
0.02,0.07849321089689276,0.02800014056993838,-0.590612078146818,1.8798299912227883,0.07849321089689304,0.028000140569938346,-0.590612078146818,1.8798299912227883,0.07849321089689276,0.02800014056993838,"[np.float64(20.00000019924811), np.float64(-40.00000039976654)]","[np.float64(0.0), np.float64(0.0)]",0.6691052890437108,0.06381722463902334,1.0027442311817605,0.40334903144636464
0.03,0.07159446889684684,0.04997925566149641,-0.7881588669470565,2.5136461930852034,0.07159446889684705,0.049979255661496226,-0.7881588669470565,2.5136461930852034,0.07159446889684684,0.04997925566149641,"[np.float64(20.00000019971096), np.float64(-40.00000039990987)]","[np.float64(0.0), np.float64(0.0)]",0.8597533358439033,0.06547882570753608,1.0028555340083574,0.47402643571302133
0.04,0.06276952932777435,0.07816692667637293,-0.9735769115519095,3.114759783272106,0.06276952932777444,0.0781669266763729,-0.9735769115519095,3.114759783272106,0.06276952932777435,0.07816692667637293,"[np.float64(20.000000199819645), np.float64(-40.00000039994373)]","[np.float64(0.0), np.float64(0.0)]",1.0363464408796839,0.06761126738976607,1.002738170902863,0.5945824699116127
0.05,0.052216334344013404,0.11200682583722976,-1.1308701881283567,3.6352574552394796,0.05221633434401351,0.11200682583722986,-1.1308701881283567,3.6352574552394796,0.052216334344013404,0.11200682583722976,"[np.float64(20.000000199857865), np.float64(-40.00000039995566)]","[np.float64(0.0), np.float64(0.0)]",1.1830865224723701,0.07017104501014841,1.0022120557613734,0.7874645181311705
0.06,0.04030222428960073,0.15043395020071815,-1.2433333106352746,4.024909166361305,0.04030222428960091,0.15043395020071837,-1.2433333106352746,4.024909166361305,0.04030222428960073,0.15043395020071815,"[np.float64(20.000000199876318), np.float64(-40.00000039996143)]","[np.float64(0.0), np.float64(0.0)]",1.2836355349248754,0.07307535258790723,1.0011070479604407,1.0421365456074843
0.07,0.0275315797571829,0.19197176814135286,-1.3015596815570414,4.255595012396752,0.02753157975718292,0.191971768141353,-1.3015596815570414,4.255595012396752,0.0275315797571829,0.19197176814135286,"[np.float64(20.00000019988617), np.float64(-40.00000039996452)]","[np.float64(0.0), np.float64(0.0)]",1.3290912613142243,0.07621209194027065,0.9993095062711572,1.1916374388950566
0.08,0.014441833059393172,0.23504793473510466,-1.3086443712145719,4.337185015603958,0.014441833059393243,0.23504793473510463,-1.3086443712145719,4.337185015603958,0.014441833059393172,0.23504793473510466,"[np.float64(20.000000199891574), np.float64(-40.000000399966225)]","[np.float64(0.0), np.float64(0.0)]",1.323086204273965,0.07946689337115959,0.9967901790702329,0.7742089497559461
0.09,0.001483975038401475,0.2783573303611311,-1.2778470219491325,4.310404899049635,0.0014839750384014532,0.27835733036113103,-1.2778470219491325,4.310404899049635,0.001483975038401475,0.2783573303611311,"[np.float64(20.00000019989456), np.float64(-40.00000039996717)]","[np.float64(0.0), np.float64(0.0)]",1.279330996987534,0.08275149079616885,0.9935939556811425,-3.270918457207331
0.1,-0.011044393104215011,0.32106474297070475,-1.2253436492481797,4.224721537984121,-0.011044393104215029,0.3210647429707046,-1.2253436492481797,4.224721537984121,-0.011044393104215011,0.32106474297070475,"[np.float64(20.00000019989628), np.float64(-40.000000399967725)]","[np.float64(0.0), np.float64(0.0)]",1.2363880423523947,0.08601679192423052,0.9898027005303681,3.8823567008646904
0.11,-0.022995594667424513,0.3627928381798773,-1.1642470931699822,4.1201259847540666,-0.022995594667424603,0.3627928381798772,-1.1642470931699822,4.1201259847540666,-0.022995594667424513,0.3627928381798773,"[np.float64(20.000000199897414), np.float64(-40.0000003999681)]","[np.float64(0.0), np.float64(0.0)]",1.1872426878374067,0.08924837049040858,0.9854988250039738,2.350628851368726
