theta1,theta2,theta1_dot,theta2_dot,theta1_est,theta2_est,theta1_dot_est,theta2_dot_est,u1,u2
0.0873,0.0,0.0,0.0,0.0873,0.0,0.0,0.0,0.0,0.0
0.08734280118798901,-3.619906367945578e-05,0.008561294331561354,-0.007242194765711648,0.08734280118798901,-3.619906367945578e-05,0.008561294331561354,-0.007242194765711648,0.0,0.0
0.08747126817657597,-0.00014493924340529577,0.017135276889359882,-0.014512998000500467,0.08747126817657597,-0.00014493924340529577,0.017135276889359882,-0.014512998000500467,0.0,0.0
0.08768559140102118,-0.000326650030020107,0.025734665737832722,-0.021841115213873975,0.08768559140102118,-0.000326650030020107,0.025734665737832722,-0.021841115213873975,0.0,0.0
0.08798608875111302,-0.0005820488603172735,0.034372238724517015,-0.02925544637970377,0.08798608875111302,-0.0005820488603172735,0.034372238724517015,-0.02925544637970377,-19.999981410648417,-3.576353175033085
0.08837320631954579,-0.000912143551760403,0.043060863633171895,-0.03678518410863185,0.08079725126181177,-0.006915522575447034,0.044964519116167445,-0.05079541049018992,-19.999992134058644,-0.7380997816625859
0.0888337715164745,-0.0013007977297834516,0.04906354346172335,-0.04097125879181846,0.09053054406906381,-0.0023654998091185656,0.04619923073572005,-0.0589336752231041,-19.972806441495315,-0.9141777103492907
0.08934643037950495,-0.0016995995520342965,0.053480546138586486,-0.038815931996883615,0.08894929616570478,0.0005555393241852718,0.054968676028380396,-0.049011654865526035,-19.99999952767082,-0.9583293494814132
0.08990418088712387,-0.00207974453077938,0.05808242145631351,-0.037239585828409694,0.08742123565129345,0.0007689521925082926,0.05671812242138135,-0.034432160795446635,-19.991062985525126,-0.5046453792975778
0.09050843809540032,-0.002445346545247275,0.06278249908260676,-0.03590725782515811,0.08639529517233345,-0.002987670732471781,0.06414860471609941,-0.043802370711231775,-19.99943143904549,-0.49165421451068914
0.09115879276633719,-0.002793247809977612,0.06730248817752887,-0.03369919073240065,0.0867758816430037,-0.004393131403538952,0.06256885469552569,-0.044444418048183915,-19.999862147784025,-0.520261099366651
0.09185472602377684,-0.003119676288057948,0.07189874464165007,-0.03161226165000932,0.09813809275521351,-0.002793742865016994,0.07503659397004259,-0.03060651692316169,-19.99951804881474,-0.14782845433962935
0.09259714770491392,-0.0034263305532219773,0.07660073272710081,-0.029744005873685395,0.092572647740205,-0.004195043154289312,0.07425591502947648,-0.028461802268031237,-19.998034528761707,-0.14709111243455306
0.09338596215827535,-0.0037107969308644503,0.08117783255633984,-0.027174218653538487,0.0931673622525082,-0.004182613409223713,0.07524200448888874,-0.027922044678933187,-19.99999686246883,-0.36750449491125103
0.09422102237706195,-0.003970303322893857,0.08585038956144055,-0.02475140507797769,0.09534956592309048,-0.0023407890714983153,0.08022197169219288,-0.024894435313805408,-19.99893282710089,-0.05732425590317605
0.09510393996473863,-0.004208825276250899,0.09074987609538433,-0.022976947779014354,0.09232915461243629,-0.004955453432205521,0.09387657033739305,-0.02820453516812416,-19.99999715677031,-0.10663474091463444
0.09603545658483374,-0.004426769654133205,0.09557078063201417,-0.02063553342273296,0.1000154294398313,-0.0029573286764113162,0.09591401538868749,-0.02410190592823619,-19.99915066716074,-0.22066106423135282
0.0970158504419931,-0.004622564757674651,0.1005258975184223,-0.018546664585565337,0.09394204182503253,-0.0035660613533392556,0.0960826908181345,-0.02445882004113582,-19.999997666635014,0.08404729411204978
0.09804667263686659,-0.004799471481105932,0.10565707984585485,-0.016857612616481304,0.094272547414501,-0.006334948302563373,0.10799702359389612,-0.0203327792747479,-19.99931885463444,-0.21010222137835532
0.09912847865351897,-0.004956681629591929,0.11072329305967607,-0.01460706816043684,0.09922393405163621,-0.003168295833719792,0.10880196038270913,-0.010656184152993341,,
