time,theta1,theta2,theta1_dot,theta2_dot,estimated_theta1,estimated_theta2,estimated_theta1_dot,estimated_theta2_dot,observed_theta1,observed_theta2,control_inputs,delayed_inputs,diff_history,com_x,com_y,cop
0.0,0.26115371473576543,0.0020241680458221722,-0.12939899452232584,0.40532525672121505,0.13679480295682953,0.0010602785001925664,-0.13181502717581495,0.40457680630557036,0.26115371473576543,0.0020241680458221722,"[np.float64(20.00000019995217), np.float64(-40.000000399985424)]","[np.float64(20.00000019995217), np.float64(-40.000000399985424)]",0.39055270925809127,0.1833273792428483,0.9810429352781712,0.32223504754367993
0.01,0.25912090641420393,0.008387639368966582,-0.2775475457276975,0.8687269492856258,-0.06682441131328552,0.33849390920968114,-0.2797106885367473,0.86803837128911,0.25912090641420393,0.008387639368966582,"[np.float64(14.544428387453697), np.float64(-39.999999525919236)]","[np.float64(14.544428387453697), np.float64(-39.999999525919236)]",0.5366684521419014,0.1838292259927865,0.9814031183259592,0.3274746288539491
0.02,0.25567929154067937,0.019169420705015483,-0.41123689873050184,1.2893463323116383,-0.18513240853339824,0.7189370385044223,-0.3548928011444126,1.3068968938398058,0.25567929154067937,0.019169420705015483,"[np.float64(20.0000001979713), np.float64(-40.00000039938671)]","[np.float64(20.0000001979713), np.float64(-40.00000039938671)]",0.6669161902711812,0.18467933303965253,0.9819789820855797,0.32762546363848005
0.03,0.25088837180920054,0.034205705770244066,-0.547175352803523,1.7190334795572015,-0.225010648598014,1.0520939034378527,-0.42686925156961486,1.7566893112591444,0.25088837180920054,0.034205705770244066,"[np.float64(20.000000199917473), np.float64(-40.00000039997512)]","[np.float64(20.000000199917473), np.float64(-40.00000039997512)]",0.7980637246127236,0.18586617725576599,0.9827092985815177,0.34153761774948144
0.04,0.24473646841337393,0.0535576787722829,-0.6827892832661207,2.150631981048016,-0.24328160082110611,1.364393136538636,-0.47810261338944193,2.215109376117363,0.24473646841337393,0.0535576787722829,"[np.float64(20.00000019991404), np.float64(-40.0000003999754)]","[np.float64(20.00000019991404), np.float64(-40.0000003999754)]",0.9275257516794946,0.18739389691876784,0.9835247805782128,0.36366152443290156
0.05,0.23725073904775895,0.07717486402659857,-0.8128349030527184,2.5688094275439175,-0.21104532875037524,1.6284855596242522,-0.3931165344169365,2.7023146395076125,0.23725073904775895,0.07717486402659857,"[np.float64(20.000000199909277), np.float64(-40.00000039997472)]","[np.float64(20.000000199909277), np.float64(-40.00000039997472)]",1.0500856421004774,0.18925644016430127,0.984330478294684,0.39406426476186696
0.06,0.22852388423535697,0.10481322572228136,-0.9295726884918776,2.9505639129558427,-0.04391964311794361,1.8632038328822145,0.5695762190556195,3.43507988494855,0.22852388423535697,0.10481322572228136,"[np.float64(20.000000199907067), np.float64(-40.00000039997462)]","[np.float64(20.000000199907067), np.float64(-40.00000039997462)]",1.1580965727272345,0.1914308200667781,0.9850090981055252,0.43000901670567815
0.07,0.21873291791359106,0.13597722043020033,-1.0242448702316227,3.269707154947308,0.35587141405606776,3.197505613877685,-0.4892873633477457,3.4487567952056395,0.21873291791359106,0.13597722043020033,"[np.float64(20.000000199891353), np.float64(-40.00000039997186)]","[np.float64(20.000000199891353), np.float64(-40.00000039997186)]",1.2429777881452138,0.19387305836206958,0.9854328813697717,0.46219938420335027
0.08,0.2081364400535266,0.16992723118269204,-1.089792823042665,3.5051391398735885,-0.4027427077071619,2.9898957771360415,-0.9420235854554164,3.5385670637258784,0.2081364400535266,0.16992723118269204,"[np.float64(20.000000199513806), np.float64(-40.00000039985231)]","[np.float64(20.000000199513806), np.float64(-40.00000039985231)]",1.2979292630961916,0.1965203700520672,0.9854834248869462,0.4704258334561663
0.09,0.19704332386002976,0.20577410792601292,-1.1235694694578753,3.649117794154362,0.06588697706692215,1.969948979259558,-0.7187390089530865,3.7159309198100203,0.19704332386002976,0.20577410792601292,"[np.float64(20.000000188743584), np.float64(-40.00000039651645)]","[np.float64(20.000000188743584), np.float64(-40.00000039651645)]",1.320612793317905,0.19930087567086854,0.9850726524925867,0.42034273110909526
0.1,0.18576191131400632,0.24263315211518455,-1.1282849797451688,3.7101442429406837,-0.6623640390036466,3.266634821364237,-1.0007805989710867,3.7531729259092046,0.18576191131400632,0.24263315211518455,"[np.float64(20.000000199889136), np.float64(-40.00000039996923)]","[np.float64(20.000000199889136), np.float64(-40.00000039996923)]",1.3140468910591752,0.20214748573176647,0.9841549661607032,0.25021148862838893
0.11,0.17455192756087712,0.2797698216458455,-1.1105697514959874,3.7085816320045137,-1.8350734924161956,4.391535544742674,-0.4616643962385325,3.829614046886917,0.17455192756087712,0.2797698216458455,"[np.float64(20.000000199889136), np.float64(-40.00000039996923)]","[np.float64(20.000000199889136), np.float64(-40.00000039996923)]",1.2851216790568645,0.20500954100307206,0.982725118154877,-0.23691063838310186
0.12,0.16359830323572133,0.3166786547973022,-1.0783060565062652,3.6685235823709696,-0.6902690007684098,3.5883639520841886,-0.8942765757525271,3.7249261823606936,0.16359830323572133,0.3166786547973022,"[np.float64(20.000000199889136), np.float64(-40.00000039996923)]","[np.float64(20.000000199889136), np.float64(-40.00000039996923)]",1.2419043597419865,0.2078575654743909,0.9808051896204452,-2.8285936442666317
0.13,0.15301066269496522,0.35308402834021724,-1.038389110725738,3.610981906936134,-1.8852263236225792,4.6261659125899195,-0.5903209404672509,3.7255116658769225,0.15301066269496522,0.35308402834021724,"[np.float64(20.000000199889136), np.float64(-40.00000039996923)]","[np.float64(20.000000199889136), np.float64(-40.00000039996923)]",1.1913997734207031,0.2106811764829343,0.9784289880173904,5.496574805530419
0.14,0.14283932928931842,0.3888907422203456,-0.9957043803838111,3.5507908356759743,-0.8773127520096815,3.5838151109001233,-0.7741329628000848,3.6188777561363636,0.14283932928931842,0.3888907422203456,"[np.float64(20.000000199889136), np.float64(-40.00000039996923)]","[np.float64(20.000000199889136), np.float64(-40.00000039996923)]",1.1385437096731295,0.213483380327596,0.975630318533979,2.811789795170757
0.15,0.13309606927036555,0.42412039210291175,-0.9531279071368656,3.496631589349974,-1.8279189670685305,4.477989051238079,-0.42032113511777425,3.6381231974716997,0.13309606927036555,0.42412039210291175,"[np.float64(20.000000199889136), np.float64(-40.00000039996923)]","[np.float64(20.000000199889136), np.float64(-40.00000039996923)]",1.086223976407231,0.2162745498753652,0.9724369771507062,2.496493581325303
0.16,0.12377197176161392,0.45885668958224946,-0.9120132131202796,3.452535754819346,-0.8101708777227761,3.5631427705128513,-0.6587277208984617,3.5300993245665353,0.12377197176161392,0.45885668958224946,"[np.float64(20.000000199889136), np.float64(-40.00000039996923)]","[np.float64(20.000000199889136), np.float64(-40.00000039996923)]",1.0357851848818935,0.21906783412206343,0.9688691898284799,2.6519711883543855
0.17,0.11484983406592919,0.49320768970915196,-0.8727527136215356,3.419608934358813,-1.8573025413844482,4.7296898406555945,-0.14957358225370854,3.613186989659937,0.11484983406592919,0.49320768970915196,"[np.float64(20.000000197418863), np.float64(-40.00000039921908)]","[np.float64(20.000000197418863), np.float64(-40.00000039921908)]",0.9876025476874648,0.22187633244383087,0.9649404377374096,3.180694007706205
0.18,0.10631141581617154,0.5272837506138677,-0.8352247909984648,3.3973996405096565,-0.6918224187767406,3.6535998977530015,-0.5029048804217808,3.4994248318951975,0.10631141581617154,0.5272837506138677,"[np.float64(20.000000199238453), np.float64(-40.00000039979148)]","[np.float64(20.000000199238453), np.float64(-40.00000039979148)]",0.9415362068146363,0.22471166858901273,0.960659092831919,4.2518298898639655
0.19,0.09814098846743757,0.561186823324153,-0.7990876264180788,3.384796670681006,-1.1667203535646324,4.244732466010633,-0.3244627144277814,3.514101198693737,0.09814098846743757,0.561186823324153,"[np.float64(20.000000199769833), np.float64(-40.00000039993184)]","[np.float64(20.000000199769833), np.float64(-40.00000039993184)]",0.8972286148855164,0.22758345072275163,0.9560300142170041,6.261195760904114
0.2,0.08966985901808533,0.5970486701882312,-0.8766668587965502,3.7319549102563445,-0.8987666628132942,3.8099252479827737,-0.5747138784895043,3.820859542388206,0.08966985901808533,0.5970486701882312,"[np.float64(-20.000000197566198), np.float64(-35.534631873102285)]","[np.float64(-20.000000197566198), np.float64(-35.534631873102285)]",0.9663367178146355,0.23053876490677006,0.9507567251420471,0.44548663211574385
0.21,0.08146175020077262,0.6331990988101053,-0.7756121716342603,3.5316770405411178,-1.3723215539291633,4.373290572708246,-0.4316425450797894,3.6268430683574024,0.08146175020077262,0.6331990988101053,"[np.float64(20.000000199365434), np.float64(-40.00000039980891)]","[np.float64(20.000000199365434), np.float64(-40.00000039980891)]",0.857073921835033,0.2335292732571621,0.9450507619012996,0.626019474699475
0.22,0.0738822767172107,0.6685427713203298,-0.7401090070378973,3.537421651826011,-0.9953059440704015,3.873237884522041,-0.4390394674471807,3.62740016143718,0.0738822767172107,0.6685427713203298,"[np.float64(6.436175280944809), np.float64(-40.00000039915359)]","[np.float64(6.436175280944809), np.float64(-40.00000039915359)]",0.813991283755108,0.23654150068764518,0.9391001279631519,6.376183352991775
